depth_cm,AC,DC
1.0350000000000001,1.2387110852272728e-08,4.507749519230769e-06
1.045,1.2528265511363637e-08,4.4301843942307685e-06
1.0550000000000002,1.2439360767045454e-08,4.297685667752443e-06
1.065,1.240072400568182e-08,4.409914749999999e-06
1.0750000000000002,1.2376825482954545e-08,4.450302556089744e-06
1.085,1.2384605198863637e-08,4.2463904775641025e-06
1.0950000000000002,1.2464058920454544e-08,4.186959205592105e-06
1.105,1.2519482329545455e-08,4.420144318910257e-06
1.1150000000000002,1.2738170369318183e-08,4.53114774198718e-06
1.125,1.2735485625000001e-08,4.478909001602564e-06
1.1350000000000002,1.3087040170454544e-08,4.608817298076923e-06
1.145,1.3257787405303029e-08,4.761257548076923e-06
1.1550000000000002,1.3214215293560605e-08,4.734565057692307e-06
1.165,1.3365454602272727e-08,4.815995488599348e-06
1.1749999999999998,1.3606307282110092e-08,4.923298019230769e-06
1.185,1.3799819204545456e-08,5.041619399038461e-06
1.1949999999999998,1.3612114943181819e-08,5.060144419871795e-06
1.205,1.3476773664772726e-08,5.004113421052631e-06
1.2149999999999999,1.3369242897727273e-08,4.9383275432692306e-06
1.225,1.3208172926136365e-08,4.859197000000001e-06
1.2349999999999999,1.2966980198863636e-08,4.743426378205129e-06
1.245,1.2834367897727274e-08,4.787897443910256e-06
1.255,1.2517919289772728e-08,4.49413230448718e-06
1.2650000000000001,1.2373744147727274e-08,4.334829967948719e-06
1.275,1.208888616477273e-08,4.147121275641026e-06
1.2850000000000001,1.1629915965909088e-08,3.809101905537459e-06
1.295,1.1431455681818183e-08,3.5386342419871795e-06
1.3050000000000002,1.1261127784090907e-08,3.2675648092948716e-06
1.315,1.1077810871212122e-08,3.0911108322368417e-06
1.3250000000000002,1.0906069943181818e-08,2.7420944743589743e-06
1.335,1.0784482443181818e-08,2.632942682692308e-06
1.3450000000000002,1.0323592500000001e-08,2.4041137307692305e-06
1.355,1.0009106354166666e-08,2.2100871618589737e-06
1.3650000000000002,9.835282881062358e-09,2.1649268509615387e-06
1.375,9.597714374999999e-09,2.225794665064103e-06
1.3850000000000002,9.370304715909089e-09,2.1078737900641024e-06
1.395,9.216608039772725e-09,2.009655565705128e-06
