depth_m,AC,DC
0.975,1.32E-08,4.95E-06
0.985,1.31E-08,5.06E-06
0.995,1.31E-08,4.99E-06
1.005,1.28E-08,4.79E-06
1.015,1.26E-08,4.69E-06
1.025,1.24E-08,4.63E-06
1.035,1.24E-08,4.51E-06
1.045,1.25E-08,4.43E-06
1.055,1.24E-08,4.30E-06
1.065,1.24E-08,4.41E-06
1.075,1.24E-08,4.45E-06
1.085,1.24E-08,4.25E-06
1.095,1.25E-08,4.19E-06
1.105,1.25E-08,4.42E-06
1.115,1.27E-08,4.53E-06
1.125,1.27E-08,4.48E-06
1.135,1.31E-08,4.61E-06
1.145,1.33E-08,4.76E-06
1.155,1.32E-08,4.73E-06
1.165,1.34E-08,4.82E-06
1.175,1.36E-08,4.92E-06
1.185,1.38E-08,5.04E-06
1.195,1.36E-08,5.06E-06
1.205,1.35E-08,5.00E-06
1.215,1.34E-08,4.94E-06
1.225,1.32E-08,4.86E-06
1.235,1.30E-08,4.74E-06
1.245,1.28E-08,4.79E-06
1.255,1.25E-08,4.49E-06
1.265,1.24E-08,4.33E-06
1.275,1.21E-08,4.15E-06
1.285,1.16E-08,3.81E-06
1.295,1.14E-08,3.54E-06
1.305,1.13E-08,3.27E-06
1.315,1.11E-08,3.09E-06
1.325,1.09E-08,2.74E-06
1.335,1.08E-08,2.63E-06
1.345,1.03E-08,2.40E-06
1.355,1.00E-08,2.21E-06
1.365,9.84E-09,2.16E-06
1.375,9.60E-09,2.23E-06
1.385,9.37E-09,2.11E-06
1.395,9.22E-09,2.01E-06
1.405,9.15E-09,1.89E-06
1.415,9.07E-09,1.81E-06
1.425,8.98E-09,1.66E-06
1.435,8.96E-09,1.55E-06
1.445,9.00E-09,1.48E-06
1.455,9.01E-09,1.39E-06
1.465,8.96E-09,1.27E-06
1.475,8.86E-09,1.15E-06
1.485,8.80E-09,1.08E-06
1.495,8.79E-09,1.04E-06
1.505,8.82E-09,1.04E-06
1.515,8.79E-09,1.03E-06
1.525,8.75E-09,9.97E-07
1.535,8.63E-09,1.03E-06
1.545,8.48E-09,1.05E-06
1.555,8.30E-09,1.00E-06
1.565,8.16E-09,9.71E-07
1.575,8.27E-09,9.82E-07
1.585,8.57E-09,1.01E-06
1.595,8.65E-09,9.62E-07
1.605,8.76E-09,8.73E-07
1.615,8.72E-09,7.99E-07
1.625,8.78E-09,7.59E-07
1.635,8.80E-09,7.29E-07
1.645,8.84E-09,6.90E-07
1.655,8.89E-09,6.29E-07
1.665,9.09E-09,6.21E-07
1.675,9.27E-09,5.87E-07
1.685,9.17E-09,5.65E-07
1.695,9.16E-09,5.23E-07
1.705,9.20E-09,4.42E-07
1.715,9.20E-09,4.45E-07
1.725,9.13E-09,4.70E-07
1.735,9.12E-09,4.49E-07
1.745,9.14E-09,4.15E-07
1.755,9.22E-09,4.36E-07
1.765,9.45E-09,4.37E-07
1.775,9.53E-09,4.33E-07
1.785,9.36E-09,3.99E-07
1.795,9.83E-09,3.43E-07
1.805,1.03E-08,3.29E-07
1.815,1.04E-08,3.02E-07
1.825,1.04E-08,3.48E-07
1.835,,
1.845,,
1.855,,
1.865,,
1.875,,
1.885,,
1.895,,
1.905,,
1.915,,
1.925,,
1.935,,
1.945,,
1.955,,
1.965,,
1.975,,
1.985,,
1.995,,
2.005,,
2.015,,
2.025,,
2.035,,
2.045,,
2.055,,
2.065,,
2.075,,
2.085,,
2.095,,
2.105,,
2.115,,
2.125,,
2.135,,
2.145,,
2.155,,
2.165,,
2.175,,
2.185,,
2.195,,
2.205,,
2.215,,
2.225,,
2.235,,
2.245,,
2.255,,
2.265,,
2.275,,
2.285,,
2.295,,
2.305,,
2.315,,
2.325,,
2.335,,
2.345,,
2.355,,
2.365,,
2.375,,
2.385,,
2.395,,
2.405,,
2.415,,
2.425,,
2.435,,
2.445,,
2.455,,
2.465,,
2.475,,
2.485,,
2.495,,
2.505,,
2.515,,
2.525,,
2.535,,
2.545,,
2.555,,
2.565,,
2.575,,
2.585,,
2.595,,
2.605,9.94E-09,7.86E-07
2.615,9.74E-09,8.53E-07
2.625,9.54E-09,9.44E-07
2.635,9.07E-09,9.29E-07
2.645,9.04E-09,9.21E-07
2.655,9.08E-09,9.73E-07
2.665,9.03E-09,1.04E-06
2.675,9.06E-09,1.09E-06
2.685,9.01E-09,1.23E-06
2.695,9.01E-09,1.21E-06
2.705,8.97E-09,1.16E-06
2.715,8.99E-09,1.14E-06
2.725,9.12E-09,1.15E-06
2.735,9.27E-09,1.25E-06
2.745,9.58E-09,1.52E-06
2.755,9.85E-09,2.18E-06
2.765,1.03E-08,2.71E-06
2.775,1.06E-08,3.04E-06
2.785,1.10E-08,3.34E-06
2.795,1.13E-08,3.52E-06
2.805,1.17E-08,3.82E-06
2.815,1.17E-08,3.96E-06
2.825,1.19E-08,4.05E-06
2.835,1.23E-08,4.27E-06
2.845,1.27E-08,4.54E-06
2.855,1.31E-08,4.84E-06
2.865,1.33E-08,5.06E-06
2.875,1.36E-08,5.23E-06
2.885,1.38E-08,5.42E-06
2.895,1.40E-08,5.57E-06
2.905,1.41E-08,5.55E-06
2.915,1.40E-08,5.46E-06
2.925,1.40E-08,5.55E-06
2.935,1.40E-08,5.61E-06
2.945,1.38E-08,5.46E-06
2.955,1.35E-08,5.30E-06
2.965,1.31E-08,4.99E-06
2.975,1.28E-08,4.77E-06
2.985,1.26E-08,4.56E-06
2.995,1.27E-08,4.55E-06
3.005,1.26E-08,4.46E-06
3.015,1.25E-08,4.42E-06
3.025,1.25E-08,4.49E-06
3.035,1.26E-08,4.55E-06
3.045,1.26E-08,4.62E-06
3.055,1.24E-08,4.64E-06
3.065,1.21E-08,4.54E-06
3.075,1.21E-08,4.51E-06
3.085,1.18E-08,4.37E-06
3.095,1.15E-08,4.24E-06
3.105,1.11E-08,4.08E-06
3.115,1.09E-08,3.94E-06
3.125,1.07E-08,3.85E-06
3.135,1.05E-08,3.70E-06
3.145,1.04E-08,3.62E-06
3.155,1.03E-08,3.61E-06
3.165,1.04E-08,3.62E-06
3.175,1.05E-08,3.70E-06
3.185,1.05E-08,3.73E-06
3.195,1.07E-08,3.78E-06
3.205,1.07E-08,3.80E-06
3.215,1.10E-08,3.96E-06
3.225,1.15E-08,4.02E-06
3.235,1.19E-08,4.08E-06
3.245,1.21E-08,4.18E-06
3.255,1.21E-08,4.44E-06
3.265,,
3.275,,
3.285,,
3.295,1.35E-08,3.48E-06
3.305,1.29E-08,3.49E-06
3.315,1.27E-08,3.54E-06
3.325,1.25E-08,3.62E-06
3.335,1.27E-08,4.39E-06
3.345,1.26E-08,4.51E-06
3.355,1.25E-08,4.47E-06
3.365,1.24E-08,4.45E-06
3.375,1.22E-08,4.41E-06
3.385,1.21E-08,4.34E-06
3.395,1.21E-08,4.39E-06
3.405,1.23E-08,4.56E-06
3.415,1.23E-08,4.60E-06
3.425,1.22E-08,4.68E-06
3.435,1.22E-08,4.74E-06
3.445,1.23E-08,4.72E-06
3.455,1.24E-08,4.78E-06
3.465,1.26E-08,4.87E-06
3.475,1.26E-08,4.85E-06
3.485,1.25E-08,4.76E-06
3.495,1.25E-08,4.91E-06
3.505,1.24E-08,4.80E-06
3.515,1.24E-08,4.80E-06
3.525,1.24E-08,4.86E-06
3.535,1.24E-08,4.69E-06
3.545,1.25E-08,4.77E-06
3.555,1.27E-08,4.81E-06
3.565,1.30E-08,5.01E-06
3.575,1.31E-08,4.96E-06
3.585,1.30E-08,4.93E-06
3.595,1.31E-08,5.05E-06
3.605,1.31E-08,5.12E-06
3.615,1.31E-08,5.12E-06
3.625,1.31E-08,5.08E-06
3.635,1.29E-08,4.98E-06
3.645,1.27E-08,4.85E-06
3.655,1.24E-08,4.67E-06
3.665,1.25E-08,4.70E-06
3.675,1.26E-08,4.78E-06
3.685,1.27E-08,4.92E-06
3.695,1.30E-08,4.97E-06
3.705,1.31E-08,4.93E-06
3.715,1.32E-08,4.94E-06
3.725,1.32E-08,4.95E-06
3.735,1.33E-08,5.06E-06
3.745,1.34E-08,5.08E-06
3.755,1.34E-08,5.20E-06
3.765,1.34E-08,5.23E-06
3.775,1.33E-08,5.25E-06
3.785,1.33E-08,5.23E-06
3.795,1.31E-08,5.06E-06
3.805,1.29E-08,4.98E-06
3.815,1.28E-08,5.06E-06
3.825,1.28E-08,5.03E-06
3.835,1.26E-08,4.91E-06
3.845,1.24E-08,4.82E-06
3.855,1.23E-08,4.71E-06
3.865,1.21E-08,4.61E-06
3.875,1.19E-08,4.51E-06
3.885,1.21E-08,4.63E-06
3.895,1.21E-08,4.63E-06
3.905,1.23E-08,4.70E-06
3.915,1.27E-08,4.80E-06
3.925,1.32E-08,5.06E-06
3.935,1.38E-08,5.38E-06
3.945,1.44E-08,5.67E-06
3.955,1.48E-08,5.77E-06
3.965,1.52E-08,5.99E-06
3.975,1.56E-08,6.11E-06
3.985,1.60E-08,6.31E-06
3.995,1.64E-08,6.64E-06
4.005,1.64E-08,6.47E-06
4.015,1.65E-08,6.54E-06
4.025,1.62E-08,6.59E-06
4.035,1.61E-08,6.66E-06
4.045,1.59E-08,6.47E-06
4.055,1.56E-08,6.39E-06
4.065,1.54E-08,6.34E-06
4.075,1.53E-08,6.33E-06
4.085,1.51E-08,6.16E-06
4.095,1.50E-08,6.10E-06
4.105,1.48E-08,6.06E-06
4.115,1.47E-08,5.92E-06
4.125,1.46E-08,6.02E-06
4.135,1.43E-08,5.79E-06
4.145,1.41E-08,5.61E-06
4.155,1.40E-08,5.51E-06
4.165,1.38E-08,5.56E-06
4.175,1.33E-08,5.27E-06
4.185,1.30E-08,5.10E-06
4.195,1.25E-08,4.96E-06
4.205,1.22E-08,4.77E-06
4.215,1.18E-08,4.56E-06
4.225,1.13E-08,4.29E-06
4.235,1.10E-08,4.04E-06
4.245,1.03E-08,3.61E-06
4.255,9.79E-09,3.18E-06
4.265,9.30E-09,2.71E-06
4.275,8.87E-09,2.23E-06
4.285,8.61E-09,1.89E-06
4.295,8.67E-09,1.74E-06
4.305,8.84E-09,1.88E-06
4.315,8.96E-09,2.13E-06
4.325,9.03E-09,2.33E-06
4.335,9.25E-09,2.49E-06
4.345,9.34E-09,2.54E-06
4.355,9.55E-09,2.47E-06
4.365,9.62E-09,1.88E-06
4.375,9.90E-09,1.58E-06
4.385,,1.50E-06
4.395,,
4.405,,
4.415,,
4.425,,
4.435,,
4.445,,
4.455,,
4.465,,
4.475,,
4.485,,
4.495,,
4.505,,
4.515,,
4.525,,
4.535,,
4.545,,
4.555,,
4.565,,
4.575,,
4.585,,
4.595,,
4.605,,
4.615,,
4.625,,
4.635,,
4.645,,
4.655,,
4.665,,
4.675,1.71E-08,6.09E-06
4.685,1.68E-08,6.70E-06
4.695,1.61E-08,6.84E-06
4.705,1.51E-08,6.62E-06
4.715,1.41E-08,6.03E-06
4.725,1.29E-08,5.24E-06
4.735,1.17E-08,4.41E-06
4.745,1.09E-08,3.73E-06
4.755,1.09E-08,3.55E-06
4.765,1.09E-08,3.62E-06
4.775,1.09E-08,3.83E-06
4.785,1.10E-08,3.89E-06
4.795,1.11E-08,3.81E-06
4.805,1.11E-08,3.77E-06
4.815,1.11E-08,3.97E-06
4.825,1.12E-08,4.15E-06
4.835,1.12E-08,4.26E-06
4.845,1.12E-08,4.37E-06
4.855,1.11E-08,4.23E-06
4.865,1.06E-08,3.97E-06
4.875,1.05E-08,3.64E-06
4.885,1.02E-08,3.20E-06
4.895,1.00E-08,2.99E-06
4.905,9.85E-09,2.83E-06
4.915,9.73E-09,2.73E-06
4.925,9.65E-09,2.79E-06
4.935,9.62E-09,2.93E-06
4.945,9.62E-09,2.92E-06
4.955,9.70E-09,3.03E-06
4.965,9.78E-09,3.08E-06
4.975,1.00E-08,3.36E-06
4.985,1.02E-08,3.61E-06
4.995,1.06E-08,3.98E-06
5.005,1.10E-08,4.40E-06
5.015,1.15E-08,4.83E-06
5.025,1.18E-08,5.12E-06
5.035,1.22E-08,5.31E-06
5.045,1.24E-08,5.50E-06
5.055,1.23E-08,5.64E-06
5.065,1.21E-08,5.60E-06
5.075,1.21E-08,5.67E-06
5.085,1.22E-08,5.68E-06
5.095,1.25E-08,5.79E-06
5.105,1.26E-08,5.89E-06
5.115,1.29E-08,6.08E-06
5.125,1.32E-08,6.20E-06
5.135,1.33E-08,6.20E-06
5.145,1.32E-08,6.17E-06
5.155,1.31E-08,6.13E-06
5.165,1.29E-08,5.94E-06
5.175,1.30E-08,5.90E-06
5.185,1.27E-08,5.80E-06
5.195,1.25E-08,5.58E-06
5.205,1.22E-08,5.35E-06
5.215,1.18E-08,5.04E-06
5.225,1.13E-08,4.52E-06
5.235,1.10E-08,4.12E-06
5.245,1.09E-08,3.90E-06
5.255,1.07E-08,3.77E-06
5.265,1.07E-08,3.71E-06
5.275,1.05E-08,3.57E-06
5.285,1.04E-08,3.39E-06
5.295,1.02E-08,3.17E-06
5.305,1.01E-08,3.04E-06
5.315,1.02E-08,3.23E-06
5.325,1.04E-08,3.60E-06
5.335,1.08E-08,4.07E-06
5.345,1.11E-08,4.48E-06
5.355,1.12E-08,4.68E-06
5.365,1.12E-08,4.65E-06
5.375,1.10E-08,4.61E-06
5.385,1.07E-08,4.41E-06
5.395,1.05E-08,4.20E-06
5.405,1.05E-08,4.18E-06
5.415,1.09E-08,4.32E-06
5.425,1.18E-08,4.66E-06
5.435,1.27E-08,5.13E-06
5.445,1.33E-08,5.63E-06
5.455,1.37E-08,5.79E-06
5.465,1.39E-08,5.79E-06
5.475,1.40E-08,5.71E-06
5.485,1.40E-08,5.79E-06
5.495,1.39E-08,5.78E-06
5.505,1.38E-08,5.78E-06
5.515,1.36E-08,5.68E-06
5.525,1.32E-08,5.54E-06
5.535,1.31E-08,5.66E-06
5.545,1.28E-08,5.41E-06
5.555,1.27E-08,5.32E-06
5.565,1.27E-08,5.51E-06
5.575,1.27E-08,5.36E-06
5.585,1.27E-08,5.01E-06
5.595,1.25E-08,4.76E-06
5.605,1.23E-08,4.22E-06
5.615,1.24E-08,3.80E-06
5.625,1.28E-08,3.41E-06
5.635,1.37E-08,3.15E-06
5.645,,
5.655,,
5.665,,
5.675,,
5.685,,
5.695,,
5.705,,
5.715,,
5.725,,
5.735,1.34E-08,4.50E-06
5.745,1.33E-08,4.48E-06
5.755,1.31E-08,4.41E-06
5.765,1.29E-08,4.46E-06
5.775,1.28E-08,4.59E-06
5.785,1.27E-08,4.73E-06
5.795,1.29E-08,5.04E-06
5.805,1.28E-08,5.22E-06
5.815,1.29E-08,5.45E-06
5.825,1.30E-08,5.58E-06
5.835,1.30E-08,5.45E-06
5.845,1.29E-08,5.38E-06
5.855,1.30E-08,5.15E-06
5.865,1.29E-08,4.77E-06
5.875,1.29E-08,4.44E-06
5.885,1.30E-08,4.31E-06
5.895,1.30E-08,4.42E-06
5.905,1.29E-08,4.62E-06
5.915,1.28E-08,4.87E-06
5.925,1.29E-08,5.21E-06
5.935,1.29E-08,5.44E-06
5.945,1.29E-08,5.59E-06
5.955,1.29E-08,5.95E-06
5.965,1.30E-08,6.51E-06
5.975,1.34E-08,7.21E-06
5.985,1.39E-08,7.73E-06
5.995,1.45E-08,8.37E-06
6.005,1.52E-08,8.70E-06
6.015,1.56E-08,8.70E-06
6.025,1.54E-08,8.61E-06
6.035,1.50E-08,8.30E-06
6.045,1.39E-08,7.85E-06
6.055,1.32E-08,7.46E-06
6.065,1.27E-08,7.37E-06
6.075,1.29E-08,7.70E-06
6.085,1.42E-08,8.35E-06
6.095,1.60E-08,9.14E-06
6.105,1.82E-08,9.92E-06
6.115,2.00E-08,1.07E-05
6.125,2.09E-08,1.14E-05
6.135,2.11E-08,1.16E-05
6.145,2.09E-08,1.15E-05
6.155,2.08E-08,1.17E-05
6.165,2.08E-08,1.17E-05
6.175,2.09E-08,1.17E-05
6.185,2.10E-08,1.17E-05
6.195,2.08E-08,1.15E-05
6.205,2.08E-08,1.15E-05
6.215,2.07E-08,1.15E-05
6.225,2.04E-08,1.12E-05
6.235,2.01E-08,1.10E-05
6.245,2.02E-08,1.10E-05
6.255,2.00E-08,1.09E-05
6.265,2.00E-08,1.09E-05
6.275,1.99E-08,1.10E-05
6.285,2.02E-08,1.12E-05
6.295,2.01E-08,1.13E-05
6.305,2.02E-08,1.13E-05
6.315,2.00E-08,1.14E-05
6.325,1.98E-08,1.14E-05
6.335,1.99E-08,1.13E-05
6.345,2.00E-08,1.14E-05
6.355,2.00E-08,1.15E-05
6.365,2.00E-08,1.14E-05
6.375,2.00E-08,1.15E-05
6.385,1.99E-08,1.13E-05
6.395,1.98E-08,1.10E-05
6.405,1.96E-08,1.11E-05
6.415,1.97E-08,1.12E-05
6.425,1.95E-08,1.10E-05
6.435,1.94E-08,1.07E-05
6.445,1.93E-08,1.07E-05
6.455,1.92E-08,1.07E-05
6.465,1.90E-08,1.08E-05
6.475,1.90E-08,1.05E-05
6.485,1.91E-08,1.03E-05
6.495,1.90E-08,1.02E-05
6.505,1.88E-08,1.00E-05
6.515,1.90E-08,9.82E-06
6.525,1.94E-08,9.55E-06
6.535,1.99E-08,9.56E-06
6.545,2.05E-08,9.43E-06
6.555,2.11E-08,9.33E-06
6.565,2.16E-08,9.30E-06
6.575,2.19E-08,9.27E-06
6.585,,
6.595,1.88E-08,4.79E-06
6.605,1.82E-08,4.48E-06
6.615,1.78E-08,4.23E-06
6.625,1.80E-08,4.56E-06
6.635,1.88E-08,5.28E-06
6.645,1.97E-08,6.68E-06
6.655,1.99E-08,6.98E-06
6.665,1.99E-08,6.86E-06
6.675,1.84E-08,5.92E-06
6.685,1.55E-08,4.65E-06
6.695,1.27E-08,4.12E-06
6.705,1.20E-08,4.24E-06
6.715,1.34E-08,4.92E-06
6.725,1.56E-08,5.86E-06
6.735,1.71E-08,6.63E-06
6.745,1.79E-08,7.38E-06
6.755,1.85E-08,7.61E-06
6.765,1.95E-08,7.72E-06
6.775,2.12E-08,8.39E-06
6.785,2.11E-08,8.44E-06
6.795,1.99E-08,8.13E-06
6.805,1.94E-08,7.98E-06
6.815,1.92E-08,8.11E-06
6.825,1.90E-08,8.04E-06
6.835,1.83E-08,8.00E-06
6.845,1.80E-08,7.67E-06
6.855,1.79E-08,7.62E-06
6.865,1.77E-08,7.64E-06
6.875,1.78E-08,7.60E-06
6.885,1.78E-08,7.49E-06
6.895,1.80E-08,7.55E-06
6.905,1.81E-08,7.62E-06
6.915,1.82E-08,7.83E-06
6.925,1.84E-08,7.81E-06
6.935,1.85E-08,7.78E-06
6.945,1.83E-08,7.81E-06
6.955,1.79E-08,7.78E-06
6.965,1.78E-08,7.76E-06
6.975,1.78E-08,7.73E-06
6.985,1.77E-08,7.72E-06
6.995,1.75E-08,7.43E-06
7.005,1.76E-08,7.56E-06
7.015,1.74E-08,7.56E-06
7.025,1.78E-08,7.73E-06
7.035,1.83E-08,7.89E-06
7.045,1.84E-08,7.82E-06
7.055,1.79E-08,7.79E-06
7.065,1.73E-08,7.63E-06
7.075,1.74E-08,7.52E-06
7.085,1.80E-08,7.66E-06
7.095,1.85E-08,7.63E-06
7.105,1.85E-08,7.73E-06
7.115,1.71E-08,7.41E-06
7.125,1.58E-08,7.21E-06
7.135,1.53E-08,7.30E-06
7.145,1.60E-08,7.36E-06
7.155,1.68E-08,7.46E-06
7.165,1.72E-08,7.42E-06
7.175,1.71E-08,7.58E-06
7.185,1.68E-08,7.55E-06
7.195,1.62E-08,7.29E-06
7.205,1.58E-08,7.14E-06
7.215,1.56E-08,7.07E-06
7.225,1.55E-08,7.01E-06
7.235,1.55E-08,7.03E-06
7.245,1.53E-08,6.81E-06
7.255,1.51E-08,6.76E-06
7.265,1.49E-08,6.73E-06
7.275,1.46E-08,6.77E-06
7.285,1.50E-08,6.95E-06
7.295,1.62E-08,7.31E-06
7.305,1.78E-08,7.80E-06
7.315,1.92E-08,8.17E-06
7.325,1.98E-08,8.36E-06
7.335,2.00E-08,8.55E-06
7.345,2.02E-08,8.72E-06
7.355,2.07E-08,8.88E-06
7.365,2.06E-08,8.85E-06
7.375,2.04E-08,8.95E-06
7.385,2.05E-08,8.80E-06
7.395,2.07E-08,9.07E-06
7.405,2.10E-08,9.12E-06
7.415,2.12E-08,9.16E-06
7.425,2.11E-08,9.23E-06
7.435,2.15E-08,9.40E-06
7.445,2.21E-08,9.71E-06
7.455,2.15E-08,9.43E-06
7.465,2.11E-08,9.34E-06
7.475,2.10E-08,9.28E-06
7.485,2.13E-08,9.40E-06
7.495,2.14E-08,9.27E-06
7.505,2.13E-08,9.26E-06
7.515,2.12E-08,9.10E-06
7.525,2.14E-08,8.94E-06
7.535,2.18E-08,8.92E-06
7.545,2.21E-08,8.57E-06
7.555,2.24E-08,8.23E-06
7.565,,
7.575,2.22E-08,9.62E-06
7.585,2.21E-08,9.35E-06
7.595,2.24E-08,9.57E-06
7.605,2.26E-08,9.87E-06
7.615,2.23E-08,9.89E-06
7.625,2.22E-08,9.88E-06
7.635,2.21E-08,9.66E-06
7.645,2.22E-08,9.63E-06
7.655,2.17E-08,9.33E-06
7.665,2.20E-08,9.20E-06
7.675,2.30E-08,9.50E-06
7.685,2.35E-08,9.33E-06
7.695,2.37E-08,9.47E-06
7.705,2.39E-08,9.79E-06
7.715,2.42E-08,1.01E-05
7.725,2.40E-08,9.92E-06
7.735,2.41E-08,1.02E-05
7.745,2.42E-08,1.02E-05
7.755,2.43E-08,1.01E-05
7.765,2.38E-08,1.01E-05
7.775,2.35E-08,9.94E-06
7.785,2.30E-08,9.99E-06
7.795,2.23E-08,9.90E-06
7.805,2.15E-08,9.66E-06
7.815,2.08E-08,9.34E-06
7.825,2.04E-08,8.90E-06
7.835,2.00E-08,9.01E-06
7.845,1.98E-08,8.98E-06
7.855,1.95E-08,9.21E-06
7.865,1.92E-08,9.23E-06
7.875,1.92E-08,9.18E-06
7.885,1.90E-08,8.92E-06
7.895,1.82E-08,8.26E-06
7.905,1.78E-08,7.87E-06
7.915,1.74E-08,7.79E-06
7.925,1.67E-08,7.46E-06
7.935,1.58E-08,7.08E-06
7.945,1.44E-08,6.44E-06
7.955,1.32E-08,5.99E-06
7.965,1.22E-08,5.34E-06
7.975,1.17E-08,4.90E-06
7.985,1.14E-08,4.72E-06
7.995,1.13E-08,4.66E-06
8.005,1.12E-08,4.63E-06
8.015,1.12E-08,4.58E-06
8.025,1.13E-08,4.76E-06
8.035,1.15E-08,4.91E-06
8.045,1.14E-08,4.85E-06
8.055,1.14E-08,4.77E-06
8.065,1.14E-08,4.64E-06
8.075,1.10E-08,4.37E-06
8.085,1.09E-08,4.13E-06
8.095,1.08E-08,4.07E-06
8.105,1.08E-08,4.11E-06
8.115,1.09E-08,4.30E-06
8.125,1.13E-08,4.59E-06
8.135,1.15E-08,4.87E-06
8.145,1.19E-08,5.24E-06
8.155,1.24E-08,5.55E-06
8.165,1.24E-08,5.42E-06
8.175,1.22E-08,5.18E-06
8.185,1.22E-08,5.09E-06
8.195,1.21E-08,5.03E-06
8.205,1.21E-08,5.03E-06
8.215,1.22E-08,5.05E-06
8.225,1.24E-08,5.14E-06
8.235,1.24E-08,5.14E-06
8.245,1.27E-08,5.19E-06
8.255,1.29E-08,5.07E-06
8.265,1.33E-08,5.07E-06
8.275,1.40E-08,5.07E-06
8.285,1.46E-08,5.22E-06
8.295,,
8.305,,
8.315,,
8.325,,
8.335,,
8.345,,
8.355,,
8.365,,
8.375,,
8.385,1.13E-08,1.82E-06
8.395,1.14E-08,2.13E-06
8.405,1.20E-08,3.26E-06
8.415,1.20E-08,3.82E-06
8.425,1.20E-08,4.11E-06
8.435,1.20E-08,4.31E-06
8.445,1.17E-08,4.40E-06
8.455,1.14E-08,4.11E-06
8.465,1.12E-08,3.96E-06
8.475,1.10E-08,3.95E-06
8.485,1.11E-08,4.14E-06
8.495,1.10E-08,4.15E-06
8.505,1.09E-08,4.00E-06
8.515,1.07E-08,3.88E-06
8.525,1.07E-08,4.01E-06
8.535,1.06E-08,4.17E-06
8.545,1.06E-08,4.20E-06
8.555,1.07E-08,4.26E-06
8.565,1.07E-08,4.36E-06
8.575,1.08E-08,4.35E-06
8.585,1.09E-08,4.30E-06
8.595,1.08E-08,4.21E-06
8.605,1.07E-08,4.17E-06
8.615,1.08E-08,4.20E-06
8.625,1.08E-08,4.26E-06
8.635,1.10E-08,4.40E-06
8.645,1.11E-08,4.61E-06
8.655,1.12E-08,4.72E-06
