depth,d18O,d17O,dD,dxs,CH4,CO,concentration,total_counts,small,medium,large,XL,small_percentage,medium_percentage,large_percentage,XL_percentage,age
56.65,-35.907036180767456,-19.114702241548663,-286.722113272509,0.534176173630689,674.982975953769,0.0958360401322136,2354.6394219137237,1378.3333333799999,1121.4444445,244.444444448,11.555555544000002,0.8888888880000001,81.3623538908366,17.734784360802212,0.8383716234782657,0.0644901248829435,
56.7,-35.618100965291575,-18.90776413931364,-284.73974420430045,0.20506351803211853,674.200521091577,0.10083760776223728,2757.5431789268964,1378.3333333799999,1121.4444445,244.444444448,11.555555544000002,0.8888888880000001,81.3623538908366,17.734784360802212,0.8383716234782657,0.0644901248829435,
56.75,-35.38187635948191,-18.804834521083723,-282.93708804472965,0.11792283112562572,674.4261873028609,0.1022019066378644,2287.8315241198943,1378.3333333799999,1121.4444445,244.444444448,11.555555544,0.888888888,81.36235389083659,17.734784360802212,0.8383716234782655,0.0644901248829435,
56.8,-35.53900021066393,-18.89815797787241,-283.95955281071986,0.35244887459154306,674.4078266543021,0.09665690357986892,2179.1189183908164,1378.3333333799999,1121.4444445,244.444444448,11.555555544000002,0.8888888880000001,81.3623538908366,17.734784360802212,0.8383716234782657,0.0644901248829435,
56.85,-35.116015623162745,-18.639458398860278,-281.2322314849791,-0.30410649967706765,676.8874421661199,0.09724814033378208,3731.5833375047605,1378.3333333799999,1121.4444445,244.444444448,11.555555544000002,0.8888888880000001,81.3623538908366,17.734784360802212,0.8383716234782657,0.0644901248829435,
56.9,-34.51929717183453,-18.33875204260365,-276.42292482751657,-0.268547452840349,679.8477598460823,0.09607730484095145,2371.7656118123773,1378.3333333799999,1121.4444445,244.444444448,11.555555544,0.888888888,81.36235389083659,17.734784360802212,0.8383716234782655,0.0644901248829435,
56.95,-34.9292987655773,-18.7540898149501,-277.966362158306,1.46802796631204,677.9489339360204,0.10728502632,2036.3857409578395,1378.3333333799999,1121.4444445,244.444444448,11.555555544,0.888888888,81.36235389083659,17.734784360802212,0.8383716234782657,0.0644901248829435,
57.0,-35.63748283680498,-18.898752006558947,-284.9297715044971,0.17009118994271655,675.877953120257,0.0746377436849091,2221.2387566387424,1378.3333333799999,1121.4444445,244.444444448,11.555555544,0.888888888,81.36235389083659,17.734784360802212,0.8383716234782657,0.0644901248829435,
57.05,-36.89114648911407,-19.628097149002382,-295.41470041385844,-0.28552850094585763,675.2416425516036,0.07423881704137913,4304.176774666316,1378.3333333799999,1121.4444445,244.444444448,11.555555544000002,0.8888888880000001,81.3623538908366,17.734784360802212,0.8383716234782657,0.0644901248829435,
57.1,-36.311409857836786,-19.284338774612074,-291.0955916798447,-0.6043128171504785,679.2228109413833,0.08208938686725191,2268.331779193303,543.444444446,466.11111111799994,70.000000002,5.999999994,1.333333332,85.76978123185425,12.880801472422748,1.1040686965006221,0.24534859922236046,
57.15,-35.180773756837546,-18.66271305636992,-281.68704066401233,-0.24085060931203855,677.8018346003944,0.08937517517909646,2311.9252025914648,543.444444446,466.111111118,70.000000002,5.999999994,1.333333332,85.76978123185425,12.880801472422748,1.1040686965006221,0.24534859922236046,
57.25,-35.503759226697994,-18.871195866175068,-283.9833554611673,0.046718352416647936,676.9382279500122,0.0882453285287731,1815.834517705128,543.444444446,466.111111118,70.000000002,5.999999994,1.333333332,85.76978123185425,12.880801472422748,1.1040686965006221,0.24534859922236044,
57.3,-35.31925450932269,-18.768330666792913,-282.9950037194681,-0.44096764488663326,678.2773905495004,0.08286377322770869,7458.931588073301,543.444444446,466.111111118,70.000000002,5.999999994,1.333333332,85.76978123185425,12.880801472422748,1.1040686965006221,0.24534859922236044,
57.35,-35.1904607336907,-18.700278577982363,-281.50666892840957,0.01701694111609081,678.774177253585,0.09295050564395518,2681.812146937387,521.0505050521818,445.2929292989091,68.121212124,6.424242418363637,1.212121210909091,85.2275770087342,13.219304799814802,1.3300740103397461,0.2230441811112368,
57.4,-35.69313995407726,-18.980990615663597,-285.14841908937456,0.396700543243542,667.0899839653248,0.0787743840110028,1532.8483466773341,297.111111114,237.11111110800002,49.333333344,10.666666661999999,0.0,79.80553477753368,16.604338073735335,3.5901271487309856,0.0,
57.45,-35.74073288224927,-18.968184111845638,-285.8618593982162,0.06400365977793883,664.3699622445315,0.07097437293005603,1271.5181796052777,297.111111114,237.11111110800002,49.333333344,10.666666661999999,0.0,79.80553477753368,16.604338073735335,3.5901271487309856,0.0,
57.5,-36.02157548707064,-19.170796977935765,-288.51057915338345,-0.3379752568183468,658.153738699511,0.06880892076763585,1329.2493861880332,297.111111114,237.11111110799996,49.333333343999996,10.666666661999999,0.0,79.80553477753368,16.604338073735335,3.5901271487309856,0.0,
57.55,-35.9304121987766,-19.056717268893102,-288.5830561621379,-1.1397585719251029,654.3278542361396,0.05158224022363889,2417.68707834359,297.111111114,237.11111110800002,49.333333344,10.666666661999999,0.0,79.80553477753368,16.604338073735335,3.5901271487309856,0.0,
