depth,d18O,dD,dxs,CH4,CO,CO2,concentration,XL,large,medium,small,total_counts,small_percentage,large_percentage,XL_percentage,flow_rate
37.92,-39.47552419,-312.4903812,3.313812269,,,,24886.34247,0.178104999,5.477556988,88.32820479,1276.725977,1370.709843,93.13556637,0.40318067,0.012862391,0.057566868
37.94,-39.59640582,-312.7074088,4.063837759,,,,30249.50973,0.251105736,5.336519317,95.31330972,1458.586328,1559.487263,93.52970642,0.342322864,0.015972749,0.0550503
37.96,-39.50836598,-312.6355663,3.431361611,,,,28175.77017,0.475104976,4.963584475,90.43274035,1431.499745,1527.371175,93.72991796,0.326387583,0.030478332,0.056358243
37.98,-39.42057799,-312.1446445,3.219979387,,,,27376.89451,0.329769253,5.704833548,85.93457072,1291.348985,1383.318159,93.35219151,0.411864849,0.024320375,0.053113167
38,-39.2968155,-311.7944139,2.58011014,,,,22797.65349,0.298508617,4.001705144,74.94958621,1107.005099,1186.254899,93.32298931,0.340572441,0.025464333,0.054035175
38.02,-39.2740777,-311.6578579,2.53476368,,,,20350.65005,0.292485544,3.183384822,65.00480638,996.4090919,1064.889769,93.57009379,0.294902696,0.027198418,0.054614942
38.04,-39.32610487,-311.1601691,3.448669907,,,,19546.43904,0.266206991,2.734420605,52.60616985,863.050458,918.6572554,93.94113852,0.296219363,0.030262935,0.051883456
38.06,-39.22648055,-311.4530055,2.358838911,,,,17179.47159,0.497801775,3.152106416,58.93716769,882.2591023,944.8461782,93.3815032,0.331451135,0.052298917,0.054835598
38.08,-39.26680114,-311.4215138,2.712895285,,,,22045.59844,0.270272096,3.867888115,66.12351963,1008.773645,1079.035325,93.47795881,0.358350076,0.024531775,0.052439789
38.1,-39.21775784,-311.593034,2.149028778,,,,22789.38664,0.788379493,3.997448136,69.95044576,1110.521374,1185.257648,93.69914064,0.332635406,0.067206365,0.052781873
38.12,-39.4465973,-311.6817512,3.891027231,,,,23607.19524,1.038458909,2.703582973,75.25935504,1159.234464,1238.235861,93.62238734,0.218232134,0.085438823,0.053187022
38.14,-39.32586448,-311.8682871,2.738628786,566.7835263,0.1818,95.1348,23267.21033,1.156296506,2.892315282,71.46452243,1105.128992,1180.642126,93.61108527,0.241622863,0.097510913,0.051741968
