depth_m,AC,DC
14.395,1.18E-08,3.40E-06
14.405,1.19E-08,3.56E-06
14.415,1.18E-08,3.57E-06
14.425,1.20E-08,3.71E-06
14.435,1.28E-08,3.98E-06
14.445,,
14.455,,
14.465,,
14.475,,
14.485,1.40E-08,5.84E-06
14.495,1.33E-08,5.39E-06
14.505,1.26E-08,4.16E-06
14.515,1.22E-08,4.03E-06
14.525,1.19E-08,4.01E-06
14.535,1.17E-08,4.01E-06
14.545,1.16E-08,4.06E-06
14.555,1.16E-08,4.12E-06
14.565,1.16E-08,4.05E-06
14.575,1.17E-08,4.04E-06
14.585,1.18E-08,4.07E-06
14.595,1.18E-08,4.09E-06
14.605,1.18E-08,4.16E-06
14.615,1.18E-08,4.21E-06
14.625,1.18E-08,4.18E-06
14.635,1.18E-08,4.16E-06
14.645,1.16E-08,4.04E-06
14.655,1.15E-08,3.97E-06
14.665,1.14E-08,3.87E-06
14.675,1.14E-08,3.95E-06
14.685,1.15E-08,4.00E-06
14.695,1.15E-08,4.02E-06
14.705,1.14E-08,4.08E-06
14.715,1.14E-08,4.09E-06
14.725,1.13E-08,4.06E-06
14.735,1.14E-08,4.00E-06
14.745,1.14E-08,3.95E-06
14.755,1.13E-08,3.85E-06
14.765,1.13E-08,3.82E-06
14.775,1.13E-08,3.74E-06
14.785,1.13E-08,3.78E-06
14.795,1.13E-08,3.79E-06
14.805,1.13E-08,3.73E-06
14.815,1.14E-08,3.70E-06
14.825,1.14E-08,3.75E-06
14.835,1.14E-08,3.74E-06
14.845,1.14E-08,3.73E-06
14.855,1.13E-08,3.62E-06
14.865,1.12E-08,3.47E-06
14.875,1.11E-08,3.33E-06
14.885,1.10E-08,3.18E-06
14.895,1.09E-08,3.11E-06
14.905,1.09E-08,3.05E-06
14.915,1.08E-08,2.97E-06
14.925,1.07E-08,2.97E-06
14.935,1.07E-08,2.88E-06
14.945,1.06E-08,2.82E-06
14.955,1.06E-08,2.73E-06
